MongoDB observer connected: localhost:27017/env_poisoning
INFO - environment_poisoning_attack - Running command 'sacred_main'
INFO - environment_poisoning_attack - Started run with ID "40"
INFO - victim_tracking - Running command 'victim_main'
INFO - victim_tracking - Started run with ID "31"
Starting Sacred experiment: 40
Configuration: {'__doc__': 'Default experiment configuration.', 'experiment_name': 'env_poisoning_attack', 'privacy_mode': 'full_whitebox', 'seed': 2, 'max_episodes': 12000, 'max_timesteps': 15, 'eval_freq_episode': 20, 'eps_greedy_start_episodes': 30, 'victim_n_episodes': 80, 'keep_checkpoints': 3, 'batch_size': 256, 'discount': 0.9, 'tau': 0.005, 'expl_noise': 0.1, 'policy_noise': 0.2, 'noise_clip': 0.5, 'policy_freq': 2, 'ae_embedding_size': 5, 'ae_seq_len': 5, 'ae_n_epochs': 10, 'victim_memory_size': 50, 'victim_discount_factor': 1.0, 'victim_alpha': 0.1, 'victim_epsilon': 0.1, 'model_dir': None, 'num_victims': 1, 'victim_algo': 'qlearning', 'attack_algo': 'ddpg', 'env': 'grid3d', 'env_shape': None, 'grid_size': 6, 'encoder_mode': 'whitebox'}
Victim MongoDB observer connected: localhost:27017/env_poisoning_victims
Victim Sacred experiment started: run_id=31
[  183/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.33
[  184/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.40
[  185/12000]  acc=0.7333  min=0.2667  best=0.8000  reward=10.00
[  186/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.80
[  187/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.87
[  188/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.40
[  189/12000]  acc=0.7333  min=0.2667  best=0.8000  reward=10.00
[  190/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.60
[  191/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.67
[  192/12000]  acc=0.6667  min=0.2667  best=0.8000  reward=10.00
[  193/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=10.07
[  194/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.33
[  195/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.87
[  196/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=10.00
[  197/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=10.13
[  198/12000]  acc=0.7333  min=0.4667  best=0.8000  reward=10.20
[  199/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.93
[  200/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=10.20 [ckpt]
[  201/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.67
[  202/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=10.07
[  203/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=10.27
[  204/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.87
[  205/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.67
[  206/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.13
[  207/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=9.40
[  208/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.60
[  209/12000]  acc=0.6667  min=0.2667  best=0.8000  reward=9.53
[  210/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=9.87
[  211/12000]  acc=0.7333  min=0.5333  best=0.8000  reward=10.07
[  212/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.13
